date,home_team,away_team,home_goals,away_goals
2024-03-13T17:30:00+00:00,Korona Kielce,Raków Częstochowa,0,2
2024-03-15T17:00:00+00:00,Zaglebie Lubin,Stal Mielec,0,0
2024-03-15T19:30:00+00:00,Lech Poznan,Warta Poznań,2,0
2024-03-16T11:30:00+00:00,Cracovia Krakow,Widzew Łódź,2,2
2024-03-16T14:00:00+00:00,Radomiak Radom,Jagiellonia,0,2
2024-03-16T16:30:00+00:00,Ruch Chorzów,Gornik Zabrze,1,2
2024-03-16T19:00:00+00:00,Slask Wroclaw,Puszcza Niepołomice,0,0
2024-03-17T11:30:00+00:00,Korona Kielce,Pogon Szczecin,2,2
2024-03-17T14:00:00+00:00,ŁKS Łódź,Raków Częstochowa,1,1
2024-03-17T16:30:00+00:00,Legia Warszawa,Piast Gliwice,3,1
2024-03-30T11:30:00+00:00,Raków Częstochowa,Ruch Chorzów,1,1
2024-03-30T14:00:00+00:00,Jagiellonia,ŁKS Łódź,6,0
2024-03-30T16:30:00+00:00,Piast Gliwice,Slask Wroclaw,2,2
2024-03-30T19:00:00+00:00,Pogon Szczecin,Cracovia Krakow,3,1
2024-04-01T10:30:00+00:00,Puszcza Niepołomice,Radomiak Radom,1,1
2024-04-01T13:00:00+00:00,Stal Mielec,Lech Poznan,0,0
2024-04-01T15:30:00+00:00,Widzew Łódź,Korona Kielce,3,1
2024-04-01T18:00:00+00:00,Gornik Zabrze,Legia Warszawa,1,3
2024-04-02T17:00:00+00:00,Warta Poznań,Zaglebie Lubin,1,1
2024-04-05T16:00:00+00:00,Cracovia Krakow,ŁKS Łódź,2,2
2024-04-05T18:30:00+00:00,Radomiak Radom,Raków Częstochowa,2,1
2024-04-06T13:00:00+00:00,Korona Kielce,Stal Mielec,1,0
2024-04-06T15:30:00+00:00,Ruch Chorzów,Puszcza Niepołomice,0,0
2024-04-06T18:00:00+00:00,Slask Wroclaw,Warta Poznań,2,1
2024-04-07T10:30:00+00:00,Widzew Łódź,Piast Gliwice,1,0
2024-04-07T13:00:00+00:00,Lech Poznan,Pogon Szczecin,1,0
2024-04-07T15:30:00+00:00,Legia Warszawa,Jagiellonia,1,1
2024-04-08T17:00:00+00:00,Zaglebie Lubin,Gornik Zabrze,1,2
2024-04-12T16:00:00+00:00,Warta Poznań,Korona Kielce,1,0
2024-04-12T18:30:00+00:00,Pogon Szczecin,Ruch Chorzów,5,0
2024-04-13T13:00:00+00:00,Stal Mielec,Widzew Łódź,0,0
2024-04-13T15:30:00+00:00,Puszcza Niepołomice,Lech Poznan,2,1
2024-04-13T18:00:00+00:00,Raków Częstochowa,Legia Warszawa,1,1
2024-04-14T10:30:00+00:00,ŁKS Łódź,Radomiak Radom,3,2
2024-04-14T13:00:00+00:00,Jagiellonia,Cracovia Krakow,1,3
2024-04-14T15:30:00+00:00,Gornik Zabrze,Slask Wroclaw,2,0
2024-04-15T17:00:00+00:00,Piast Gliwice,Zaglebie Lubin,2,0
2024-04-19T16:00:00+00:00,Korona Kielce,Radomiak Radom,4,0
2024-04-19T18:30:00+00:00,Raków Częstochowa,Gornik Zabrze,0,1
2024-04-20T13:00:00+00:00,Pogon Szczecin,Piast Gliwice,0,2
2024-04-20T15:30:00+00:00,Ruch Chorzów,Widzew Łódź,2,3
2024-04-20T18:00:00+00:00,Zaglebie Lubin,Jagiellonia,1,2
2024-04-21T10:30:00+00:00,Cracovia Krakow,Puszcza Niepołomice,0,1
2024-04-21T13:00:00+00:00,ŁKS Łódź,Lech Poznan,2,3
2024-04-21T15:30:00+00:00,Legia Warszawa,Slask Wroclaw,0,0
2024-04-22T17:00:00+00:00,Warta Poznań,Stal Mielec,5,2
2024-04-26T16:00:00+00:00,Piast Gliwice,Warta Poznań,2,0
2024-04-26T18:30:00+00:00,Jagiellonia,Pogon Szczecin,2,2
2024-04-27T13:00:00+00:00,Gornik Zabrze,ŁKS Łódź,4,1
2024-04-27T15:30:00+00:00,Slask Wroclaw,Ruch Chorzów,2,3
2024-04-27T18:00:00+00:00,Widzew Łódź,Raków Częstochowa,0,1
2024-04-28T10:30:00+00:00,Radomiak Radom,Zaglebie Lubin,3,4
2024-04-28T13:00:00+00:00,Stal Mielec,Legia Warszawa,1,3
2024-04-28T15:30:00+00:00,Lech Poznan,Cracovia Krakow,0,0
2024-04-29T17:00:00+00:00,Puszcza Niepołomice,Korona Kielce,1,1
2024-05-03T16:00:00+00:00,Cracovia Krakow,Gornik Zabrze,5,0
2024-05-03T18:30:00+00:00,Ruch Chorzów,Lech Poznan,2,1
2024-05-04T13:00:00+00:00,ŁKS Łódź,Slask Wroclaw,1,2
2024-05-04T15:30:00+00:00,Zaglebie Lubin,Raków Częstochowa,2,0
2024-05-04T18:00:00+00:00,Stal Mielec,Jagiellonia,3,2
2024-05-05T10:30:00+00:00,Warta Poznań,Widzew Łódź,2,1
2024-05-05T13:00:00+00:00,Korona Kielce,Piast Gliwice,1,1
2024-05-05T15:30:00+00:00,Legia Warszawa,Radomiak Radom,0,3
2024-05-06T17:00:00+00:00,Pogon Szczecin,Puszcza Niepołomice,1,0
2024-05-10T16:00:00+00:00,Piast Gliwice,ŁKS Łódź,4,0
2024-05-10T18:30:00+00:00,Slask Wroclaw,Cracovia Krakow,4,0
2024-05-11T13:00:00+00:00,Gornik Zabrze,Stal Mielec,1,1
2024-05-11T15:30:00+00:00,Jagiellonia,Korona Kielce,3,0
2024-05-11T18:00:00+00:00,Raków Częstochowa,Pogon Szczecin,2,1
2024-05-12T10:30:00+00:00,Puszcza Niepołomice,Warta Poznań,1,0
2024-05-12T13:00:00+00:00,Widzew Łódź,Zaglebie Lubin,1,3
2024-05-12T15:30:00+00:00,Lech Poznan,Legia Warszawa,1,2
2024-05-13T17:00:00+00:00,Radomiak Radom,Ruch Chorzów,0,2
2024-05-17T16:00:00+00:00,Stal Mielec,Pogon Szczecin,0,0
2024-05-17T18:30:00+00:00,Gornik Zabrze,Puszcza Niepołomice,1,1
2024-05-18T13:00:00+00:00,Korona Kielce,Ruch Chorzów,2,0
2024-05-18T15:30:00+00:00,Slask Wroclaw,Radomiak Radom,2,0
2024-05-18T18:00:00+00:00,Piast Gliwice,Jagiellonia,1,1
2024-05-19T10:30:00+00:00,Cracovia Krakow,Raków Częstochowa,2,0
2024-05-19T13:00:00+00:00,Warta Poznań,Legia Warszawa,0,1
2024-05-19T15:30:00+00:00,Widzew Łódź,Lech Poznan,1,1
2024-05-20T17:00:00+00:00,Zaglebie Lubin,ŁKS Łódź,2,1
2024-05-25T15:30:00+00:00,Jagiellonia,Warta Poznań,3,0
2024-05-25T15:30:00+00:00,Legia Warszawa,Zaglebie Lubin,2,1
2024-05-25T15:30:00+00:00,Lech Poznan,Korona Kielce,1,2
2024-05-25T15:30:00+00:00,Pogon Szczecin,Gornik Zabrze,1,0
2024-05-25T15:30:00+00:00,Puszcza Niepołomice,Piast Gliwice,1,0
2024-05-25T15:30:00+00:00,Raków Częstochowa,Slask Wroclaw,1,2
2024-05-25T15:30:00+00:00,ŁKS Łódź,Stal Mielec,3,2
2024-05-25T15:30:00+00:00,Radomiak Radom,Widzew Łódź,1,3
2024-05-25T15:30:00+00:00,Ruch Chorzów,Cracovia Krakow,2,0
